Date,Average Daily Wind Speed (mph),Precipitation (in),Average Temperature (F),Maximum Temperature (F),Minimum Temperature (F)
1/1/2018,13.42,0,30,37,25
1/2/2018,9.17,0,30,32,26
1/3/2018,5.14,0,32,49,20
1/4/2018,1.57,0,38,55,25
1/5/2018,5.37,0,47,60,39
1/6/2018,6.04,0,49,67,37
1/7/2018,10.51,0.06,57,70,48
1/8/2018,12.53,0,58,65,44
1/9/2018,6.04,0,47,59,39
1/10/2018,11.86,0,63,68,58
1/11/2018,13.65,0,60,72,38
1/12/2018,14.09,0,39,51,29
1/13/2018,7.83,0,38,52,29
1/14/2018,6.49,0,42,57,31
1/15/2018,9.84,0.2,49,69,37
1/16/2018,17.45,0.06,33,39,19
1/17/2018,7.16,0,25,38,15
1/18/2018,4.7,0,29,40,20
1/19/2018,7.61,0.01,44,60,37
1/20/2018,7.61,0.01,57,67,54
1/21/2018,13.65,0.02,67,72,63
1/22/2018,10.51,0.09,60,68,44
1/23/2018,4.47,0,49,64,32
1/24/2018,5.14,0,50,66,34
1/25/2018,6.26,0,49,65,35
1/26/2018,9.84,0,55,67,46
1/27/2018,6.26,0.6,62,65,58
1/28/2018,8.95,0.01,60,70,50
1/29/2018,9.84,0,51,63,36
1/30/2018,7.38,0,47,64,36
1/31/2018,12.3,0,52,71,38
2/1/2018,9.62,0,62,72,53
2/2/2018,11.41,0,53,58,47
2/3/2018,6.26,0.08,48,54,42
2/4/2018,6.71,0,56,62,49
2/5/2018,5.82,0,48,56,39
2/6/2018,8.95,0.06,52,55,40
2/7/2018,13.2,0.25,40,42,36
2/8/2018,6.71,0,43,61,34
2/9/2018,6.04,0.03,55,61,51
2/10/2018,8.5,0.09,58,64,38
2/11/2018,14.54,0,35,38,31
2/12/2018,8.5,0,35,46,30
2/13/2018,5.82,0.08,42,47,40
2/14/2018,5.37,0.07,51,69,47
2/15/2018,12.08,0,69,79,65
2/16/2018,9.4,0,68,74,56
2/17/2018,7.16,0.05,56,62,49
2/18/2018,11.18,0.01,58,78,52
2/19/2018,19.01,0,72,79,67
2/20/2018,14.99,0.23,72,77,70
2/21/2018,12.97,0.56,57,71,43
2/22/2018,8.05,0.01,43,47,41
2/23/2018,4.25,0,52,74,44
2/24/2018,11.18,0.01,69,75,62
2/25/2018,9.17,0.33,61,62,52
2/26/2018,6.49,0,56,68,51
2/27/2018,11.41,0,64,80,57
2/28/2018,14.09,0,73,83,69
3/1/2018,11.86,0.05,69,75,54
3/2/2018,5.82,0,61,76,51
3/3/2018,8.5,0,63,75,52
3/4/2018,12.75,0.06,68,77,63
3/5/2018,11.41,0.07,72,84,59
3/6/2018,9.17,0,62,74,46
3/7/2018,8.95,0,55,65,44
3/8/2018,7.61,0,55,68,46
3/9/2018,12.3,0,60,73,49
3/10/2018,9.84,0,71,83,64
3/11/2018,14.54,0,70,72,52
3/12/2018,9.62,0,55,65,43
3/13/2018,7.16,0,56,70,45
3/14/2018,5.82,0,57,70,42
3/15/2018,12.53,0,60,73,48
3/16/2018,9.17,0,72,85,64
3/17/2018,10.74,0,74,82,69
3/18/2018,7.16,0.97,72,81,63
3/19/2018,11.41,0.02,69,78,57
3/20/2018,10.29,0,59,68,48
3/21/2018,4.92,0,59,74,42
3/22/2018,12.53,0,64,78,50
3/23/2018,15.66,0,67,81,58
3/24/2018,10.74,0,72,83,67
3/25/2018,10.51,0,73,81,68
